ids,CLSZ_0.4,CLID_0.4
9839953,3,4
719449,3,4
25181377,3,4
3364516,2,2
3119666,2,2
2939678,2,7
1589731,2,7
3032310,1,1
2790671,1,6
25181366,1,8
135500895,1,9
