"","coefficients.Estimate","coefficients.Std..Error","coefficients.t.value","coefficients.p.value"
"b:1",0.519519230600653,0.0763600074325321,6.80355133621056,1.34676046938671e-09
"b:2",0.800795884289866,0.225679351317193,3.54837905912068,0.00063402817111191
"b:3",0.681913366184432,0.128556783043635,5.30437484541735,8.83789735237824e-07
"b:4",1.84480939652398,0.166352132328636,11.089785088414,1.69715001585062e-18
"b:5",1.65075759635125,0.175829345065922,9.38840780947202,8.85682042321638e-15
"c:1",-0.0165951665119887,0.107825357596849,-0.153907827266725,0.878047239052947
"c:2",0.132588982236322,0.047193219590662,2.80949219795457,0.00615609641182367
"c:3",0.146406145306151,0.0604287928608897,2.4227878528566,0.0175253047811887
"c:4",0.0795515570338404,0.039459606361572,2.01602510437895,0.0469554765125482
"c:5",-0.00906563763178703,0.0443536019448343,-0.204394620375198,0.83853374774238
"d:1",1.87955342060518,0.0423710201342222,44.3594092058949,7.41051028388019e-61
"d:2",0.946000290973025,0.0422666865183859,22.3816998420616,1.08303920265874e-37
"d:3",1.09032146400175,0.0405604460920201,26.8813972491359,1.26686553816358e-43
"d:4",2.15357804610254,0.0281852724230079,76.4079201996484,2.01715601390839e-80
"d:5",1.80628253766136,0.0292460365169628,61.7616180781867,1.0520462071883e-72
"e:1",1.79495484936751,0.478232123884918,3.75331300370665,0.000318330541398275
"e:2",0.945529902646082,0.249493301187974,3.78980076075749,0.000280882758511265
"e:3",1.37302278961299,0.452684824574059,3.0330656454077,0.00320996975895071
"e:4",0.197326314946836,0.0101894790165724,19.3656922621755,3.23631176189463e-33
"e:5",0.210793480135159,0.0138247565708916,15.2475364795204,2.38621847449334e-26
